District,Letter,Path,Comment,,,,
CFA,G,\\CFANEOMAFSV03\OmaData,,,,,
KPE,G,\\kpdkslennas02\sds2,SDS2 v 7.2x,,,,
KPE,G,\\Main-4\Accnt,Accounting,,,,
KHO,H,\\cecil\Engineering,Engineering,,,,
CEN,H,\\cecil\Tax,Tax,,,,
KHO,H,\\cecil\Tax,Tax,,,,
CFA,H,\\CFAIADAVFSV01\DAVData,,,,,
KPE,H,\\main-2\home\%username%,User's Personal Data Storage,,,,
KHO,I,\\cecil\Procurement,Procurement,,,,
KPC,I,\\kpdkslennas02\IDrive,Estimating. ,,,,
UND,J,\\cecil\ISDept,IS Dept,,,,
KHO,J,\\cecil\ISDept,IS Dept,,,,
KHO,J,\\cecil\Treasury,Treasury,,,,
CFA,J,\\CFANELINFSV01\LinData,,,,,
KPE,J,\\kpdkslennas02\Jdrive,"IT, CAD, Clerical, ENGINEERING, PROGRAMMING, SHOP DRAWINGS",,,,
KPD,J,\\vnxmig-temp\jdrive,,,,,
KHO,L,\\cecil\Share\KDC,KDC,,,,
KHO,M,\\cecil\Marketing,Marketing,,,,
CFA,M,\\kiewitplaza\vdi\appsense_profiles\CFA\CFAIACRA,Only used for XenApp Access 2003 for Cedar Rapids,,,,
KPE,M,\\Main-5\Mdrive,"IT, CAD, Clerical, Central Marketing, ENGINEERING, HR, PROGRAMMING, PROJECT CONTROLS, SHOP DRAWINGS",,,,
CFA,N,\\CFAIADESFSV01\DMData,,,,,
KPC,N,\\kpc-fs3\comdata,General Access,,,,
KHO,O,\\cecil\RESIQ,RESIQ,,,,
KPE,O,\\ORION\Share,"Orion, PROJECT CONTROLS",,,,
KHO,P,\\cecil\accounting,Accounting,,,,
KEU,P,\\keutxhoufsv01\Programs,Program repository,,,,
KPC,P,\\kicfs1\programs,CMS Users,,,,
KPE,P,\\Main-4\INFO,Mechanical CAD Group - Smart Plant,,,,
GWD,R,\\GWDABACHFSV01\RECORDS,,,,,
KEU,R,\\keutxhoufsv02\records,Records Management,,,,
KHO,R,\\KHONEPLZFSV01\Records,Records,,,,
KHO,R,\\KHONEPLZFSV01\Records\Midwest_Aviation,RecordsMWA,,,,
KPD,R,\\kpdkslennas02\Records,Records Management,,,,
MEC,R,\\mettxirvfsv01\records,Records,,,,
KHO,S,\\cecil\TWSProd,TWSProd,,,,
GWD,S,\\GWDABACHFSV01\DATA,,,,,
GWD,S,\\GWDABNFEFSV01\SHARE,,,,,
KEU,S,\\keutxhoufsv01\share,District Share drive with departmental folders,,,,
GWD,S,\\KPDABENMFSV01\DATA,,,,,
KPD,S,\\kpdcasgrfsv01\sdrive,,,,,
KPD,S,\\kpdcocgsfsv01\sdrive,,,,,
KPD,S,\\kpdcocgsfsv01\sdrive,,,,,
KPD,S,\\kpdianeafsv01\sdrive,,,,,
KPD,S,\\kpdinpgsfsv01\sdrive,,,,,
KPD,S,\\kpdkslacfsv01\sdrive,,,,,
KPD,S,\\kpdpahcrfsv01\sdrive,,,,,
KHO,T,\\cecil\Share02,Share02,,,,
KPE,T,\\Main-4\Tdrive,Temporary Storage,,,,
KHO,U,\\cecil\Users\%username%,Users Folder,,,,
GWD,U,\\GWDABACHFSV01\USERS\%username%,,,,,
KEU,U,\\keutxhoufsv01\users,Users' personal storage for documents,,,,
KPE,U,\\KPEARCHIVE\ELELIB,ELE Library,,,,
KPE,U,\\KPEARCHIVE\EST,Business Dept.,,,,
KPE,U,\\KPEARCHIVE\ICLIB,IC Library,,,,
KPE,U,\\KPEARCHIVE\MECLIB,MEC Library,,,,
KPE,U,\\KPEARCHIVE\STRLIB,STR Library,,,,
MEC,U,\\mettxirvfsv01\users\%username%,Users,,,,
TIC,U,\\TUSCOENGFSV01\USERS\first.last,TIC Meridian (Home Office),,,,
KPE,V,\\KPECMG\Vdrive,"Business Dept., Central Marketing",,,,
KPE,W,\\main-4\wdrive,HR,,,,
KPE,W,\\Main-5\BMIS_Scan\@USERID,SHOP DRAWINGS,,,,
KEU,X,\\keutxcphfsv01\share,,,,,
KPE,X,\\kpdkslennas02\SDS2_73B,SDS2 v 7.3x,,,,
KPE,X,\\main-4\xdrive,HR,,,,
MEC,X,\\mettxirvfsv01\data,Data,,,,
KPE,Y,\\KPECMG\Ydrive,"IT, PROGRAMMING, Y Drive Access",,,,
MEC,Y,\\mettxirvfsv01\archive,Archive,,,,
KHO,Z,\\cecil\TWSTest,TWSTest,,,,
GWD,Z,\\KHONEPLZASW79\KCIC\V0 Import,,,,,
KPE,Z,\\main-4\eat,Employee Association Team,,,,
KPE,Z,\\Main-4\Public,Install Point,,,,
CFA,,\\AERTBLAWP001,Timberline App Server,,,,
CFA,,\\CFANEOMAFSV03\AutoDesk,CFA AutoDesk install Files,,,,
CFA,,\\CFANEOMAFSV03\IT\Installs,CFA IT Install Files,,,,
CFA,,\\CFANEOMATSX01,Omaha Terminal Server,,,,
CFA,,\\CFANEOMAVSH01,Host Server for Virtual Omaha Servers,,,,
KAU,,\\KAUWAPIXPSV01 ,,,,,
KAU,,\\KAUWAWHEPSV01 ,,,,,
KHO,,\\khoneplzfsv01\autodesk,,,,,
KHO,,\\khoneplzfsv01\Bentley,,,,,
KHO,,\\khoneplzfsv01\Desktop,,,,,
KHO,,\\khoneplzfsv01\Diskjuke,,,,,
KHO,,\\khoneplzfsv01\DocumentCenter,,,,,
KHO,,\\khoneplzfsv01\DOTF,,,,,
KHO,,\\khoneplzfsv01\EAS,,,,,
KHO,,\\khoneplzfsv01\hrprd,,,,,
KHO,,\\khoneplzfsv01\icemc,,,,,
KHO,,\\khoneplzfsv01\IMSUMMIT,,,,,
KHO,,\\khoneplzfsv01\IMTestingServices,,,,,
KHO,,\\khoneplzfsv01\InfinyD,,,,,
KHO,,\\khoneplzfsv01\KieCoreSoftware,,,,,
KHO,,\\khoneplzfsv01\KieCoreWeb,,,,,
KHO,,\\khoneplzfsv01\kovis,,,,,
KHO,,\\khoneplzfsv01\kovis,,,,,
KHO,,\\khoneplzfsv01\KPDNEBLA,,,,,
KHO,,\\khoneplzfsv01\KUMedia,,,,,
KHO,,\\khoneplzfsv01\MC,,,,,
KHO,,\\khoneplzfsv01\moss,,,,,
KHO,,\\khoneplzfsv01\nonprodelm,,,,,
KHO,,\\khoneplzfsv01\nonprodfms,,,,,
KHO,,\\khoneplzfsv01\nonprodhcm,,,,,
KHO,,\\khoneplzfsv01\offshore,,,,,
KHO,,\\khoneplzfsv01\pbs,,,,,
KHO,,\\khoneplzfsv01\peoplesoft,,,,,
KHO,,\\khoneplzfsv01\Predictions,,,,,
KHO,,\\khoneplzfsv01\primavera,,,,,
KHO,,\\khoneplzfsv01\prodelm,,,,,
KHO,,\\khoneplzfsv01\prodfms,,,,,
KHO,,\\khoneplzfsv01\prodhcm,,,,,
KHO,,\\khoneplzfsv01\pttst,,,,,
KHO,,\\khoneplzfsv01\Rainman,,,,,
KHO,,\\khoneplzfsv01\restore,,,,,
KHO,,\\khoneplzfsv01\Revit,,,,,
KHO,,\\khoneplzfsv01\SAPClientConfig,,,,,
KHO,,\\khoneplzfsv01\SCCMDeployments,,,,,
KHO,,\\khoneplzfsv01\SCD,,,,,
KHO,,\\khoneplzfsv01\ServerAdmin,,,,,
KHO,,\\khoneplzfsv01\SharepointTransfer,,,,,
KHO,,\\khoneplzfsv01\SharepointtransferDEv,,,,,
KHO,,\\khoneplzfsv01\SharepointTransferERX,,,,,
KHO,,\\khoneplzfsv01\SharepointTransferPreprod,,,,,
KHO,,\\khoneplzfsv01\SharepointTransferQA,,,,,
KHO,,\\khoneplzfsv01\SharepointTransferWeldDev,,,,,
KHO,,\\khoneplzfsv01\SHDCOKDC,,,,,
KHO,,\\khoneplzfsv01\SketchupNetwork,,,,,
KHO,,\\khoneplzfsv01\Synchro,,,,,
KHO,,\\khoneplzfsv01\Trimble,,,,,
KHO,,\\khoneplzfsv01\UniversalUploader,,,,,
KHO,,\\khoneplzfsv01\UnviersalUploaderQA,,,,,
NOC,,\\kpcncdysrv\dyadmin$,NOCCAVAL  Vallejo Yard,,,,
NOC,,\\kpcncsrv\kpcncadmin$,NOCCAFAI  District Office,,,,
NOC,,\\noccaantfsv01\Data\OneIM,NOCCAANT  Kiecon,,,,
NOC,,\\noccabarfsv01\NOCADMIN\Software,NOCCABR2  Warm Springs,,,,
NOC,,\\noccafaifsv01\s02\data\oneim\Software,NOCCAFAI  District Office,,,,
NOC,,\\noccafsffsv01\NOCAdmin\Software,NOCCAFSF  Folsom Phase IV,,,,
NOC,,\\noccahtwfsv01\nocadmin$\Software,NOCCAHTW  Harry Tracy,,,,
KPD,,\\KPDABENMFSV01\gan.hrsg,,,,,
SOC,,\\SOCCASPWFSV01\AD_Deploy,,,,,
SOC,,\\SOCCASPWFSV01\Archived_Users \,,,,,
SOC,,\\SOCCASPWFSV01\Data,,,,,
SOC,,\\SOCCASPWFSV01\transfers,,,,,
WCD,,\\WCDMBDBJFSV01\Scans,,,,,
