District,Name,Server,Comments,,,,,,
KPD,KPDABENMPMF01,\\kpdabenmfsv01,Ricoh Aficio MP C4501 - Safety/Conference Trailer ,,,,,,
KPD,KPDABENMPMF02,\\kpdabenmfsv01,Ricoh Aficio MP C6501 - Construction Trailer - Copier Room,,,,,,
KPD,KPDABENMPMF03,\\kpdabenmfsv01,Ricoh Aficio MP C4501 - Construction Trailer - Document Control,,,,,,
KPD,KPDABENMPMF04,\\kpdabenmfsv01,Ricoh Aficio MP C4501 - Construction Trailer - East Side,,,,,,
KPD,KPDABENMPMF05,\\kpdabenmfsv01,Ricoh Aficio MP C4501 - Purchasing Trailer,,,,,,
KPD,KPDABENMPMF06,\\kpdabenmfsv01,Ricoh Aficio MP C4502 - 8-Plex,,,,,,
KPD,KPDABENMPTR01,\\kpdabenmfsv01,hp Laserjet 5200 - Construction Trailer - TIC Payroll Office,,,,,,
KPD,KPDABENMPTR02,\\kpdabenmfsv01,HP Deskjet 6500A - Construction Trailer - Reception,,,,,,
KPD,KPDABENMPWF01,\\kpdabenmfsv01,hp DesignJet 510 - Construction Trailer - Copier Room,,,,,,
KPD,KPDABENMPWF02,\\kpdabenmfsv01,hp DesignJet 510 - 8-plex,,,,,,
SOC,HP4240-RyanWalsh,"\\soccsapwfsv01	",,,,,,,
SOC,HP5200-Segment2,"\\soccsapwfsv01	 ",,,,,,,
SOC,HP6040-Segment3,"\\soccsapwfsv01	 ",,,,,,,
SOC,HP6040-Segment3-Receptionist,"\\soccsapwfsv01	 ",,,,,,,
SOC,HP6040-Segment3-Receptionist-PDF,\\soccsapwfsv01,HP6040-Segment3-Receptionist-PDF ,,,,,,
SOC,HPCP5520-Bruin Yard,"\\soccsapwfsv01	 ",,,,,,,
SOC,HPLaserJet5525-HalfmoonYard,"\\soccsapwfsv01	 ",,,,,,,
SOC,HPP2055-DanielleReeder,"\\soccsapwfsv01	 ",,,,,,,
SOC,HPP3015-Business,"\\soccsapwfsv01	 ",,,,,,,
SOC,HPPlotterT1120ps-Halfmoon,"\\soccsapwfsv01	 ",,,,,,,
SOC,HPPlotterT1120ps-Halfmoon-PDFdriver,"\\soccsapwfsv01	 ",,,,,,,
SOC,HPPlotterT770-Segment1,"\\soccsapwfsv01	 ",,,,,,,
SOC,HPPlotterT770-Segment1-PDFdriver,"\\soccsapwfsv01	 ",,,,,,,
SOC,HPPlotterT770-Segment3,"\\soccsapwfsv01	 ",,,,,,,
SOC,HPPlotterT770-Segment3-PDFdriver,"\\soccsapwfsv01	 ",,,,,,,
SOC,HPPlotterT790-Segment2,"\\soccsapwfsv01	 ",,,,,,,
SOC,HPPlotterT790-Segment2-PDFdriver,"\\soccsapwfsv01	 ",,,,,,,
SOC,RICOH-WILSHIRE01,"\\soccsapwfsv01	 ",,,,,,,
SOC,RICOH-WILSHIRE02,"\\soccsapwfsv01	 ",,,,,,,
SOC,Ricoh4501-HalfMoon01,"\\soccsapwfsv01	 ",,,,,,,
SOC,Ricoh4501-HalfMoon02,"\\soccsapwfsv01	 ",,,,,,,
SOC,RicohMPC6502-Segment 2,"\\soccsapwfsv01	 ",,,,,,,
SOC,XeroxWorkCenter7765-HalfmoonYard,"\\soccsapwfsv01	 ",,,,,,,
WCD,BrotherMFC-J6510DW,"\\WCDMBDBJFSV01	 ",,,,,,,
WCD,BrotherMFC-J6910DW_Batch_Plant,"\\WCDMBDBJFSV01	 ",,,,,,,
WCD,HP T790PS - HPGL2,"\\WCDMBDBJFSV01	 ",,,,,,,
WCD,HPDJet T790PS_Conference_Room,\\WCDMBDBJFSV01,Pointe Du Bois ,,,,,,
WCD,RICOH Aficio MP C4502_Mechanical,"\\WCDMBDBJFSV01	 ",,,,,,,
WCD,Ricoh Aficio MP C4502_Quality_Lab,"\\WCDMBDBJFSV01	 ",,,,,,,
WCD,RICOH Aficio MP C7501_8-Plex,"\\WCDMBDBJFSV01	 ",,,,,,,
WCD,Ricoh Aficio MP C7501_Reception,\\WCDMBDBJFSV01,Reception ,,,,,,
WCD,Ricoh MPC_4502_Maintenance_Shop,"\\WCDMBDBJFSV01	 ",,,,,,,
WCD,Xerox WC 7120_Earthworks,\\WCDMBDBJFSV01,Center Island ,,,,,,
WCD,Xerox WC 7120_Structures,"\\WCDMBDBJFSV01	 ",,,,,,,
WCD,Xerox WC_ 6605DN_Survey,\\WCDMBDBJFSV01,Survey Printer ,,,,,,
WCD,Xerox WC_6605DN_EarthWorks,"\\WCDMBDBJFSV01	 ",,,,,,,
WCD,Xerox WC_7120 Warehouse,"\\WCDMBDBJFSV01	 ",,,,,,,
WCD,Xerox WC_7120_Survey,\\WCDMBDBJFSV01,8 Plex Survey Dept ,,,,,,
WCD,Xerox WorkCentre WCD Warehouse 6605DN PCL 6  Print,"\\WCDMBDBJFSV01	 ",,,,,,,
KEU,KEUMDCPLPTR03  Print,"\\KEUTXCPHFSV01	 ",,,,,,,
KEU,KEUMDCPLWFP01,"\\KEUTXCPHFSV01	 ",,,,,,,
KEU,KEUTXCP2PTR01,"\\KEUTXCPHFSV01	 ",,,,,,,
KEU,KEUTXCP2PTR02,"\\KEUTXCPHFSV01	 ",,,,,,,
KEU,KEUTXCPHPTR01,"\\KEUTXCPHFSV01	 ",,,,,,,
KEU,KEUTXCPHPTR02,"\\KEUTXCPHFSV01	 ",,,,,,,
KEU,KEUTXCPHPTR03,"\\KEUTXCPHFSV01	 ",,,,,,,
KEU,KEUTXCPHPTR04,\\KEUTXCPHFSV01,HP LaserJet P3011P3015 PCL6VIP printer only - must check with Leilani before connecting   ,,,,,,
KEU,KEUTXCPHPTR05,\\KEUTXCPHFSV01,BM's check printer outside Mark Ruml's office                                       ,,,,,,
KEU,KEUTXCPHWFP01,\\KEUTXCPHFSV01,Plotter                                                                                   ,,,,,,
KEU,KEUTXCPXPTR01,"\\KEUTXCPHFSV01	 ",,,,,,,
KEU,KEUTXCPXPTR02,\\KEUTXCPHFSV01,Nearest Reception ,,,,,,
KEU,KEUTXCPXPTR03,"\\KEUTXCPHFSV01	 ",,,,,,,
KEU,KEUTXCPXWFP01,\\KEUTXCPHFSV01,Plotter ,,,,,,
TUS,TUSGASAVCHKPTR,\\TUSGASAVFSV01,Check Printer Downstairs in the secured storage area across from Charlie Spence ,,,,,,
TUS,TUSGASAVPTR01,\\TUSGASAVFSV01,Ricoh C6501,North 2nd Floor,,,,,
TUS,TUSGASAVPTR02,\\TUSGASAVFSV01,Savin 9040,1st Floor South,,,,,
TUS,TUSGASAVPTR03,\\TUSGASAVFSV01,Kyocera - CS400ci,North 2nd floor,,,,,
